Record_ID,Customer_Name,Email,Phone,City,Country,Department,Product_Name,Quantity,Unit_Price,Total_Amount,Order_Status,Order_Date,Delivery_Date,Order Month,Order Date,Order Year,Delivery_Month,Delivery Date,Delivery Year,Customer First Name,Customer Last Name
1,Michele Allen,qmoyer@austin.info,826.174.7145,South Tinabury,Saint Martin,Support,What Product,11,492.8,5420.8,Cancelled,1/5/2026,1/14/2026,Jan,05,2026,Jan,14,2026,Michele,Allen
2,Marcia Dickerson,wadenicole@ramirez-mayo.biz,740.992.2479x3466,New James,New Zealand,Sales,Teacher Product,5,52.51,262.55,Completed,3/3/2025,3/11/2025,Mar,03,2025,Mar,11,2025,Marcia,Dickerson
3,Wendy Jenkins,zmckay@garner.com,072-659-0297,Port Johnny,Belgium,Sales,Head Product,14,174.96,2449.44,Pending,4/1/2024,4/14/2024,Apr,01,2024,Apr,14,2024,Wendy,Jenkins
4,Heather Solomon,theresasaunders@gmail.com,-684,North Kyleshire,United Arab Emirates,Marketing,Within Product,16,133.57,2137.12,Completed,11/12/2023,11/17/2023,Nov,12,2023,Nov,17,2023,Heather,Solomon
5,William Edwards,fduncan@davis.com,785-408-3588x349,East Randyport,South Africa,IT,Beyond Product,9,306.98,2762.82,In Progress,9/13/2024,9/28/2024,Sep,13,2024,Sep,28,2024,William,Edwards
6,Antonio Wood,guerrerojoan@bentley.org,511-967-2102x871,Lake Maria,Estonia,Operations,Though Product,10,388.03,3880.3,In Progress,11/14/2024,11/19/2024,Nov,14,2024,Nov,19,2024,Antonio,Wood
7,Kevin Kelly Jr.,merrittjose@gmail.com,001-327-186-1275x26862,Lake Steven,South Georgia and the South Sandwich Islands,Sales,Wall Product,4,202.31,809.24,Completed,8/2/2024,8/4/2024,Aug,02,2024,Aug,04,2024,Kevin Kelly,Jr.
8,Heidi Hill,jamieanderson@gmail.com,+1-148-819-6550x0367,South Kimberlyport,Bouvet Island (Bouvetoya),Operations,Major Product,18,418.03,7524.54,Cancelled,9/25/2024,10/10/2024,Sep,25,2024,Oct,10,2024,Heidi,Hill
9,Jeffrey Jones,juan86@rodriguez.com,(773)324-2412,Racheltown,Bolivia,Operations,Surface Product,4,299.39,1197.56,Pending,5/28/2024,6/2/2024,May,28,2024,Jun,02,2024,Jeffrey,Jones
10,Heather Thomas,thomas33@robinson.com,422.527.0539x68840,Drakeborough,British Indian Ocean Territory (Chagos Archipelago),Sales,Old Product,6,462.16,2772.96,Completed,7/20/2025,7/21/2025,Jul,20,2025,Jul,21,2025,Heather,Thomas
11,Daniel Turner,michaellewis@gmail.com,-6256,Karenton,Liechtenstein,Operations,Set Product,8,350.07,2800.56,Cancelled,6/20/2025,6/30/2025,Jun,20,2025,Jun,30,2025,Daniel,Turner
12,Gloria Rivera,brenda94@allison.com,001-678-187-2164x091,Richardview,Bolivia,IT,Pull Product,8,379.23,3033.84,Cancelled,4/19/2026,4/25/2026,Apr,19,2026,Apr,25,2026,Gloria,Rivera
13,Jay Anderson,qtran@chambers.net,+1-701-799-1816x645,Jeffreyfort,Saudi Arabia,HR,National Product,9,420.46,3784.14,Pending,10/20/2023,10/28/2023,Oct,20,2023,Oct,28,2023,Jay,Anderson
14,Ronald Burgess,jessica48@edwards.com,453-530-1421x91542,Mcdonaldport,Djibouti,Operations,Section Product,1,363.58,363.58,Completed,9/3/2024,9/12/2024,Sep,03,2024,Sep,12,2024,Ronald,Burgess
15,Lori Santos,creyes@bridges.org,+1-221-445-1871x0177,East Dylanmouth,Libyan Arab Jamahiriya,IT,Least Product,3,123.82,371.46,Cancelled,4/12/2024,4/17/2024,Apr,12,2024,Apr,17,2024,Lori,Santos
16,Wesley Mcgee,georgekim@travis.com,+1-921-429-7696x014,West Matthewbury,Montenegro,HR,Behind Product,19,16.5,313.5,Cancelled,2/23/2026,3/4/2026,Feb,23,2026,Mar,04,2026,Wesley,Mcgee
17,Scott Jones,nicholas87@gmail.com,001-889-238-5328x7093,Howellton,Togo,HR,Myself Product,10,336.08,3360.8,Cancelled,10/13/2023,10/19/2023,Oct,13,2023,Oct,19,2023,Scott,Jones
18,Pamela Clark,fmaddox@torres.biz,3963771857,South Heatherchester,Paraguay,Finance,Try Product,3,275.92,827.76,Pending,10/20/2023,11/4/2023,Oct,20,2023,Nov,04,2023,Pamela,Clark
